Grade;Cod;Descricao;UN;Inicial;Ent.;Ent.MCDD;Reserva;Trans.;Saidas;Sai.MCDD;Disp.;Res.Magali;Inic.Agend.;Ent.Agend.;Sai.Agend.;Disp.Agend.
01;014293;WLTR OW375MLCX1;cx  ;0000007;0000000;0000000;0000000;000000; 000000; 000000; 0000007; 0000000;0000000;0000000;0000000; 0000000
01;014340;ORIGINAL OW300M;cx  ;0000013;0000000;0000000;0000000;000000; 000000; 000000; 0000013; 0000000;0000000;0000000;0000000; 0000000
01;014405;WVPA OW600CX12A;cx  ;0000014;0000000;0000000;0000000;000000; 000000; 000000; 0000014; 0000000;0000000;0000000;0000000; 0000000
01;014523;WSHC OW600CX12A;cx  ;0000015;0000000;0000000;0000000;000000; 000000; 000000; 0000015; 0000000;0000000;0000000;0000000; 0000000
01;014548;COLCAU OW600CX-;cx  ;0000014;0000000;0000000;0000000;000000; 000000; 000000; 0000014; 0000000;0000000;0000000;0000000; 0000000
01;014550;COLAP OW600CX-1;cx  ;0000010;0000000;0000000;0000000;000000; 000000; 000000; 0000010; 0000000;0000000;0000000;0000000; 0000000
01;014552;COLIND OW600CX-;cx  ;0000019;0000000;0000000;0000000;000000; 000000; 000000; 0000019; 0000000;0000000;0000000;0000000; 0000000
01;014554;COLDEM OW600CX-;cx  ;0000014;0000000;0000000;0000000;000000; 000000; 000000; 0000014; 0000000;0000000;0000000;0000000; 0000000
01;014556;COLVIX OW600CX-;cx  ;0000011;0000000;0000000;0000000;000000; 000000; 000000; 0000011; 0000000;0000000;0000000;0000000; 0000000
01;016480;BOH 300        ;Dz  ;0000390;0000000;0000000;0000000;000000; 000000; 000000; 0000390; 0000000;0000000;0000000;0000000; 0000000
01;017266;BOH LT473CXCART;cx  ;0000605;0000000;0000000;0000000;000000; 000000; 000000; 0000605; 0000000;0000000;0000000;0000000; 0000000
01;017268;PABOPINA 355LN ;cx  ;0000019;0000000;0000000;0000000;000000; 000000; 000000; 0000019; 0000000;0000000;0000000;0000000; 0000000
01;017276;PAAMLANA 355LN ;cx  ;0000023;0000000;0000000;0000000;000000; 000000; 000000; 0000023; 0000000;0000000;0000000;0000000; 0000000
01;017278;PAWENA 355LN CX;cx  ;0000019;0000000;0000000;0000000;000000; 000000; 000000; 0000019; 0000000;0000000;0000000;0000000; 0000000
01;017283;WLHAZE OW600CX1;cx  ;0000016;0000000;0000000;0000000;000000; 000000; 000000; 0000016; 0000000;0000000;0000000;0000000; 0000000
01;017678;SK LT350SH18NPA;cx  ;0000195;0000000;0000000;0000000;000000; 000000; 000000; 0000195; 0000000;0000000;0000000;0000000; 0000000
01;017725;AP LT350SH18NPA;cx  ;0000134;0000000;0000000;0000000;000000; 000000; 000000; 0000134; 0000000;0000000;0000000;0000000; 0000000
01;017757;BKN LN330 SP SH;cx  ;0000068;0000000;0000000;0000000;000000; 000000; 000000; 0000068; 0000000;0000000;0000000;0000000; 0000000
01;017797;BC LT350SH18NPA;cx  ;0004230;0000000;0000000;0000000;000000; 000000; 000000; 0004230; 0000000;0000000;0000000;0000000; 0000000
01;017808;BUD OW330 C 24 ;cx  ;0000052;0000000;0000000;0000000;000000; 000000; 000000; 0000052; 0000000;0000000;0000000;0000000; 0000000
01;017874;WSCOBA OW600CX1;cx  ;0000008;0000000;0000000;0000000;000000; 000000; 000000; 0000008; 0000000;0000000;0000000;0000000; 0000000
01;018137;GCA P3LC4SHL   ;cx  ;0000208;0000000;0000000;0000000;000000; 000000; 000000; 0000208; 0000000;0000000;0000000;0000000; 0000000
01;018144;SERRANA LT473SH;cx  ;0000023;0000000;0000000;0000000;000000; 000000; 000000; 0000023; 0000000;0000000;0000000;0000000; 0000000
01;018152;GCA PT200SH12  ;cx  ;0006281;0000000;0000000;0000000;000000; 000000; 000000; 0006281; 0000000;0000000;0000000;0000000; 0000000
01;018266;PC PT200SH12   ;cx  ;0000000;0000400;0000000;0000000;000000; 000000; 000000; 0000400; 0000000;0000000;0000000;0000000; 0000000
01;018267;SLA PT200SH12  ;cx  ;0000036;0000000;0000000;0000000;000000; 000000; 000000; 0000036; 0000000;0000000;0000000;0000000; 0000000
01;018341;PC P3000ML04SL ;cx  ;0000096;0000000;0000000;0000000;000000; 000000; 000000; 0000096; 0000000;0000000;0000000;0000000; 0000000
01;018490;PAAMLANA LT4736;cx  ;0000012;0000000;0000000;0000000;000000; 000000; 000000; 0000012; 0000000;0000000;0000000;0000000; 0000000
01;018676;SKPM LT473SH12N;cx  ;0000256;0000000;0000000;0000000;000000; 000000; 000000; 0000256; 0000000;0000000;0000000;0000000; 0000000
01;018678;SKPM GFAVD1L   ;Dz  ;0000033;0000000;0000000;0000000;000000; 000000; 000000; 0000033; 0000000;0000000;0000000;0000000; 0000000
01;018780;COREXN OW210CX4;cx  ;0000065;0000000;0000000;0000000;000000; 000000; 000000; 0000065; 0000000;0000000;0000000;0000000; 0000000
01;018807;S ARTOIS LN330 ;cx  ;0000001;0000000;0000000;0000000;000000; 000000; 000000; 0000001; 0000000;0000000;0000000;0000000; 0000000
01;018836;COREXTN LN330CX;cx  ;0000043;0000000;0000000;0000000;000000; 000000; 000000; 0000043; 0000000;0000000;0000000;0000000; 0000000
01;019164;GCA PT1LPC2 MPA;cx  ;0010155;0000000;0000000;0000000;000000; 000000; 000000; 0010155; 0000000;0000000;0000000;0000000; 0000000
